id_record,value
29439471,
29444229,
29448305,
29446583,
29450154,
29450157,
29450788,
29450547,
29451199,
29452194,
29452435,
29453404,
29453681,
29454566,
29454567,
29454744,
29454965,
29455942,
29456283,
29456491,
29457719,
29457722,0.02
29457318,
29457836,0.2
29459338,1.27
29459114,
29460162,
29460773,3.01
29461638,1.11
29461645,1.81
29461646,2.41
29461935,1.78
29461573,
29463157,2.55
29462833,
29463805,
29464335,4.5
29464001,3.71
29464003,2.93
29465180,
29465570,4.33
29465153,4.18
29466210,
29466754,3.93
29467690,
29468200,4.9
29468576,3.58
29468584,3.01
29469330,3.43
29469012,
29470111,2.07
29470115,0.75
29469929,
29471324,
29470514,1.32
29471464,
29471822,0.01
29472857,
29472542,
29472930,
29473973,
29474162,
29475142,
29475145,
29475321,
29476134,
29476524,
29476757,
29477526,
29477826,
29477919,
29478169,
29483938,
29479478,
29486070,
29487961,
29489703,
29489704,
29489959,
29490537,
29490709,
29491976,
29492243,
29493129,
29493407,
29494477,
29493660,
29494722,
29495902,
29494931,
29496205,
29496436,
29497312,
29497747,
29497933,0.01
29498751,
29498814,0.72
29498922,
29499272,1.75
29501387,1.75
29501388,0.67
29500382,4.47
29500702,
29501366,
29501804,2.39
29503060,0.31
29502630,
29502881,1.23
29504168,1.71
29503792,
29504178,1.95
29505248,0.78
29505180,
29505596,1.94
29506337,
29506552,1.24
29506775,2.22
29508529,1.07
29508549,0.42
29507534,
29507708,2.16
29509196,1.01
29508803,
29509932,0.04
29510058,
29510409,0.33
29511039,
29512046,
29511840,
29512413,
29512764,
29512313,
29513501,
29514058,
29514520,
29514931,
29516599,
29516604,
29515740,
29516136,
29516618,
29517253,
29517305,
29518864,
29518615,
29517598,
29522917,
29527083,
29528933,
29530442,
29529251,
29529538,
29530150,
29531594,
29531871,
29532661,
29532871,
29533205,
29533973,
29534238,
29534587,
29535410,
29535558,
29535753,
29536855,
29537034,0.28
29537774,
29537775,
29538126,
29538278,0.49
29538514,1.24
29539335,2.11
29539435,1,109
29539723,0.89
29540479,2,011
29541464,2.9
29540753,1.71
29542063,3.83
29541815,3.08
29541644,16,749
29543081,3.71
29542891,15,034
29543285,3.25
29544375,1.41
29544531,23,915
29545236,2.33
29545245,0.07
29545237,25,776
29545565,0.15
29546791,0.51
29546558,22,547
29546952,1.66
29547747,8.03
29547930,0.61
29548952,2.31
29548957,0.19
29548899,1,462
29549208,0.19
29550148,
29550328,
29551115,
29551124,
29551246,
29552215,
29552594,
29552840,
29553747,
29553752,
29554061,
29553707,
29555380,
29555101,
29555129,
29556605,
29557351,
29556324,
29557710,
29561964,
29566183,
29564514,
29568358,
29568359,
29569372,
29568882,
29569641,
29571218,
29571452,
29572370,
29572531,
29572942,
29573796,
29574109,
29574432,
29575197,
29575501,
29576477,
29575730,
29576908,0.09
29576686,
29578042,
29578050,0.39
29577679,
29578101,1.69
29579935,
29580456,4.78
29579401,3.28
29580230,
29579264,1.72
29582047,3.69
29581624,
